Oeste,,,,,,,,,,,,,,,,,,,,,,
http://www.ine.pt,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Geographic localization (NUTS - 2013) (1),,Survivals (No.) of Enterprises born 1 year before by Geographic localization (NUTS - 2013) and Economic activity (Section - CAE Rev. 3); Annual,,,,,,,,,,,,,,,,,,,,
,,Data reference period,,,,,,,,,,,,,,,,,,,,
,,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011,,2010,,2009
,,Economic activity (Section - CAE Rev. 3) (2) ,,,,,,,,,,,,,,,,,,,,
,,Information and communication activities,,,,,,,,,,,,,,,,,,,,
,,No. ,,No. ,,No. ,,No. ,,No. ,,No. ,,No. ,,No. ,,No. ,,No. ,,No. 
Alcobaça,16B1001,6,,5,,13,,9,,8,,2,,7,,10,,5,,9,,5
Alenquer,16B1101,6,,7,,4,,4,,4,,7,,7,,2,,0,,2,,6
Arruda dos Vinhos,16B1102,3,,5,,7,,4,,3,,3,,4,,2,,2,,3,,1
Bombarral,16B1005,2,,1,,0,,0,,0,,2,,1,,2,,1,,0,,2
Cadaval,16B1104,0,,1,,0,,4,,1,,2,,1,,2,,0,,2,,1
Caldas da Rainha,16B1006,15,,10,,15,,7,,11,,9,,11,,10,,6,,9,,14
Lourinhã,16B1108,7,,2,,4,,8,,3,,3,,2,,7,,3,,3,,4
Nazaré,16B1011,2,,2,,3,,1,,2,,2,,2,,2,,2,,2,,2
Óbidos,16B1012,5,,7,,2,,5,,7,,8,,3,,0,,6,,1,,1
Peniche,16B1014,2,,3,,3,,6,,4,,2,,2,,1,,3,,2,,1
Sobral de Monte Agraço,16B1112,2,,2,,0,,2,,2,,0,,0,,4,,0,,1,,2
Torres Vedras,16B1113,22,,20,,19,,22,,10,,19,,9,,10,,8,,8,,10
"Survivals (No.) of Enterprises born 1 year before by Geographic localization (NUTS - 2013) and Economic activity (Section - CAE Rev. 3); Annual - Statistics Portugal, Business demography",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Nota(s):,,,,,,,,,,,,,,,,,,,,,,
"(1) From January 1, 2015 came into force a new version of NUTS (NUTS 2013). At NUTS II level was just a name change in ""Lisboa"" which became known as ""Área Metropolitana de Lisboa"".",,,,,,,,,,,,,,,,,,,,,,
"(2) The scope of economic activity includes all enterprises from sections A to S of NACE-Rev.2, with the exception of Financial and Insurance Activities (section K) and Public Administration and Defense; Compulsory Social Security (section O).",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"This data last updated:march 29, 2021",,,,,,,,,,,,,,,,,,,,,,
