"","Municipality ID","Municipality","Minicipality_Group","Region","Country"
"1",1,"Alcobaça"," ","Oeste","Portugal"
"2",2,"Alenquer"," ","Oeste","Portugal"
"3",3,"Arruda dos Vinhos"," ","Oeste","Portugal"
"4",4,"Bombarral"," ","Oeste","Portugal"
"5",5,"Cadaval"," ","Oeste","Portugal"
"6",6,"Caldas da Rainha"," ","Oeste","Portugal"
"7",7,"Lourinhã"," ","Oeste","Portugal"
"8",8,"Nazaré"," ","Oeste","Portugal"
"9",9,"Óbidos"," ","Oeste","Portugal"
"10",10,"Peniche"," ","Oeste","Portugal"
"11",11,"Sobral de Monte Agraço"," ","Oeste","Portugal"
"12",12,"Torres Vedras"," ","Oeste","Portugal"
